Sq.Ki.,Sq.Mi.,State,County
1155.9,446.3,Georgia,Walker
852.8,329.3,Georgia,Walton
2337.7,902.6,Georgia,Ware
739.6,285.5,Georgia,Warren
1762.4,680.5,Georgia,Washington
1669.9,644.7,Georgia,Wayne
542.7,209.6,Georgia,Webster
771.1,297.7,Georgia,Wheeler
625.8,241.6,Georgia,White
751.1,290,Georgia,Whitfield
985.2,380.4,Georgia,Wilcox
1220.9,471.4,Georgia,Wilkes
1156.7,446.6,Georgia,Wilkinson
1475.8,569.8,Georgia,Worth
10433.1,4028.2,Hawaii,Hawaii
1554.5,600.2,Hawaii,Honolulu
34.2,13.2,Hawaii,Kalawao
1612.2,622.5,Hawaii,Kauai
3002.5,1159.3,Hawaii,Maui
2732.6,1055,Idaho,Ada
3534.5,1364.7,Idaho,Adams
2883.2,1113.2,Idaho,Bannock
2516,971.4,Idaho,Bear Lake
2009.9,776,Idaho,Benewah
5425.6,2094.8,Idaho,Bingham
6850.3,2644.9,Idaho,Blaine
4927.5,1902.5,Idaho,Boise
4500.4,1737.6,Idaho,Bonner
4839.6,1868.6,Idaho,Bonneville
3286.2,1268.8,Idaho,Boundary
5783.3,2232.9,Idaho,Butte
2784.3,1075,Idaho,Camas
1527.5,589.8,Idaho,Canyon
4574.2,1766.1,Idaho,Caribou
6647.5,2566.6,Idaho,Cassia
4570.6,1764.7,Idaho,Clark
6375.4,2461.6,Idaho,Clearwater
12757.3,4925.6,Idaho,Custer
7971.4,3077.8,Idaho,Elmore
1723.6,665.5,Idaho,Franklin
4835.1,1866.8,Idaho,Fremont
1457.1,562.6,Idaho,Gem
1892.9,730.8,Idaho,Gooding
21976.6,8485.2,Idaho,Idaho
2836.4,1095.1,Idaho,Jefferson
1553.7,599.9,Idaho,Jerome
3225.1,1245.2,Idaho,Kootenai
2788.7,1076.7,Idaho,Latah
11821.6,4564.3,Idaho,Lemhi
1240.8,479.1,Idaho,Lewis
3122.5,1205.6,Idaho,Lincoln
1221.3,471.6,Idaho,Madison
1967.6,759.7,Idaho,Minidoka
2199.2,849.1,Idaho,Nez Perce
3109.1,1200.4,Idaho,Oneida
19887,7678.4,Idaho,Owyhee
1055.5,407.5,Idaho,Payette
3640.7,1405.7,Idaho,Power
6822.1,2634,Idaho,Shoshone
1166.5,450.4,Idaho,Teton
4986.1,1925.1,Idaho,Twin Falls
9526.5,3678.2,Idaho,Valley
3772,1456.4,Idaho,Washington
2218.9,856.7,Illinois,Adams
612.3,236.4,Illinois,Alexander
984.7,380.2,Illinois,Bond
728.8,281.4,Illinois,Boone
791.7,305.7,Illinois,Brown
2249.7,868.6,Illinois,Bureau
657.5,253.8,Illinois,Calhoun
1150.6,444.2,Illinois,Carroll
973.7,376,Illinois,Cass
2582.7,997.2,Illinois,Champaign
1836.5,709.1,Illinois,Christian
1299,501.5,Illinois,Clark
1215.4,469.3,Illinois,Clay
1228.3,474.3,Illinois,Clinton
1316.5,508.3,Illinois,Coles
2449.3,945.7,Illinois,Cook
1148.8,443.6,Illinois,Crawford
896.2,346,Illinois,Cumberland
1642.5,634.2,Illinois,DeKalb
1029.8,397.6,Illinois,De Witt
1079.7,416.9,Illinois,Douglas
866.2,334.4,Illinois,Du Page
1615.1,623.6,Illinois,Edgar
575.9,222.4,Illinois,Edwards
1239.9,478.7,Illinois,Effingham
1855.8,716.5,Illinois,Fayette
1258.5,485.9,Illinois,Ford
1067.3,412.1,Illinois,Franklin
2242.1,865.7,Illinois,Fulton
838.5,323.7,Illinois,Gallatin
1406.7,543.1,Illinois,Greene
1088.2,420.1,Illinois,Grundy
1127.1,435.2,Illinois,Hamilton
2058.2,794.7,Illinois,Hancock
461.9,178.3,Illinois,Hardin
981.2,378.8,Illinois,Henderson
2132.2,823.3,Illinois,Henry
2891.8,1116.5,Illinois,Iroquois
1523.3,588.1,Illinois,Jackson
1280.6,494.4,Illinois,Jasper
1479.1,571.1,Illinois,Jefferson
956.3,369.2,Illinois,Jersey
1557,601.2,Illinois,Jo Daviess
896.2,346,Illinois,Johnson
1348.6,520.7,Illinois,Kane
1754.7,677.5,Illinois,Kankakee
830.5,320.7,Illinois,Kendall
1855.3,716.3,Illinois,Knox
1159.8,447.8,Illinois,Lake
2939.8,1135,Illinois,La Salle
963.5,372,Illinois,Lawrence
1878.8,725.4,Illinois,Lee
2703.5,1043.8,Illinois,Livingston
1601.1,618.2,Illinois,Logan
1526.3,589.3,Illinois,McDonough
1564.7,604.1,Illinois,McHenry
3065.6,1183.6,Illinois,McLean
1503.6,580.6,Illinois,Macon
2236.9,863.7,Illinois,Macoupin
1877.9,725.1,Illinois,Madison
1482.2,572.3,Illinois,Marion
1000,386.1,Illinois,Marshall
1396,539,Illinois,Mason
619.1,239.1,Illinois,Massac
814,314.3,Illinois,Menard
1453.1,561.1,Illinois,Mercer
1005.8,388.3,Illinois,Monroe
1823,703.8,Illinois,Montgomery
1473.2,568.8,Illinois,Morgan
869.2,335.6,Illinois,Moultrie
1965.5,758.9,Illinois,Ogle
1604.6,619.6,Illinois,Peoria
1142.2,441,Illinois,Perry
1139.7,440,Illinois,Piatt
2150.6,830.3,Illinois,Pike
960.6,370.9,Illinois,Pope
520.1,200.8,Illinois,Pulaski
413.9,159.8,Illinois,Putnam
1498.2,578.4,Illinois,Randolph
932.8,360.2,Illinois,Richland
1105.4,426.8,Illinois,Rock Island
1719.5,663.9,Illinois,St. Clair
992.8,383.3,Illinois,Saline
2248.8,868.3,Illinois,Sangamon
1132.8,437.4,Illinois,Schuyler
650,251,Illinois,Scott
1964.6,758.6,Illinois,Shelby
745.7,287.9,Illinois,Stark
1461.5,564.3,Illinois,Stephenson
1680.7,648.9,Illinois,Tazewell
1077.9,416.2,Illinois,Union
2328.7,899.1,Illinois,Vermilion
578.8,223.5,Illinois,Wabash
1405.3,542.6,Illinois,Warren
1457.3,562.7,Illinois,Washington
1849.1,713.9,Illinois,Wayne
1281.9,494.9,Illinois,White
1773.7,684.8,Illinois,Whiteside
2168.5,837.3,Illinois,Will
1098.6,424.2,Illinois,Williamson
1330.8,513.8,Illinois,Winnebago
1367.6,528,Illinois,Woodford
879,339.4,Indiana,Adams
1702.4,657.3,Indiana,Allen
1053.8,406.9,Indiana,Bartholomew
1052.4,406.3,Indiana,Benton
427.7,165.1,Indiana,Blackford
1094.9,422.7,Indiana,Boone
808.8,312.3,Indiana,Brown
964.2,372.3,Indiana,Carroll
1069.4,412.9,Indiana,Cass
971.7,375.2,Indiana,Clark
926.3,357.6,Indiana,Clay
1049.3,405.1,Indiana,Clinton
791.8,305.7,Indiana,Crawford
1115.6,430.7,Indiana,Daviess
790.6,305.2,Indiana,Dearborn
965.1,372.6,Indiana,Decatur
939.9,362.9,Indiana,De Kalb
1018.7,393.3,Indiana,Delaware
1114,430.1,Indiana,Dubois
1201.3,463.8,Indiana,Elkhart
556.8,215,Indiana,Fayette
383.4,148,Indiana,Floyd
1024.9,395.7,Indiana,Fountain
999.8,386,Indiana,Franklin
954.5,368.5,Indiana,Fulton
1266.1,488.9,Indiana,Gibson
1072.4,414,Indiana,Grant
1404.1,542.1,Indiana,Greene
1030.9,398,Indiana,Hamilton
793,306.2,Indiana,Hancock
1256.8,485.3,Indiana,Harrison
1057.8,408.4,Indiana,Hendricks
1017.8,393,Indiana,Henry
759.1,293.1,Indiana,Howard
991,382.6,Indiana,Huntington
1319.2,509.3,Indiana,Jackson
1450.1,559.9,Indiana,Jasper
993.7,383.7,Indiana,Jay
936,361.4,Indiana,Jefferson
977.1,377.3,Indiana,Jennings
829.4,320.2,Indiana,Johnson
1336.1,515.9,Indiana,Knox
1392.2,537.5,Indiana,Kosciusko
983.1,379.6,Indiana,Lagrange
1287.3,497,Indiana,Lake
1549.5,598.3,Indiana,La Porte
1162.6,448.9,Indiana,Lawrence
1171.1,452.2,Indiana,Madison
1026.7,396.4,Indiana,Marion
1150.7,444.3,Indiana,Marshall
870.6,336.2,Indiana,Martin
973.2,375.8,Indiana,Miami
1021.4,394.4,Indiana,Monroe
1306.9,504.6,Indiana,Montgomery
